date,section.name,headline.main,headline.print,headline.kicker,material,,,
4/7/2020,World,Afghan Prisoner Swap Hits Wall as Taliban Pull Out of Talks,"Taliban Pulls Out of Talks as Prisoner Swap Collapses, Imperiling U.S. Deal",NA,News,,,
4/9/2020,World,"In Kabul’s Heart, Soviet Towers Harbor Decades of Tales","In the Shabby Chic Towers in Kabul’s Heart, History Lives",Afghanistan DISPATCH,News,,,
4/10/2020,World,Coronavirus Finds Fuel in a World of Migrants,"In a World of Migrant Workers, a World of Risk",NA,News,,,
2/26/2020,Opinion,The Taliban Terrorist,The Taliban Terrorist,letters,Letter,,,
6/29/2020,Opinion,The Russian Bounties in Afghanistan: What Did Trump Know?,The Russian Bounties: What Did Trump Know?,letters,Letter,,,
7/1/2020,Opinion,Trump and Evidence of Russian Bounties to the Taliban,Trump and Evidence of Russian Bounties,letters,Letter,,,
4/14/2020,World,Stigma Hampers Iraqi Efforts to Fight the Coronavirus,Stigma Hampers Efforts To Fight the Virus in Iraq,NA,News,,,
4/17/2020,World,"To Save Afghan Peace Deal, U.S. May Scale Back C.I.A. Presence","To Save Peace Deal With Taliban, U.S. May Reduce C.I.A. Presence in Afghanistan",NA,News,,,
4/18/2020,World,U.S. Military Cutting Medevac Flights for Troops in West Africa,U.S. Military Cuts Back On Medical Evacuation For Troops in Africa,NA,News,,,
4/19/2020,World,Dozens Test Positive for Coronavirus at Afghan President’s Palace,"Dozens Fall Ill At the Palace Of the Leader, Officials Say",NA,News,,,
4/21/2020,World,What Will Our New Normal Feel Like? Hints Are Beginning to Emerge,"Thrust Into Hardship, Humans Adapt and Cope in Remarkable Ways",The Interpreter,News,,,
4/22/2020,Magazine,Afghanistan’s Next War,Afghanistan’s Next War,NA,Interactive Feature,,,
4/7/2020,U.S.,Trump’s Inspector General Has Expressed Dim Views of Congressional Oversight,Inspector General Pick Casts Doubt on Powers Allowed of Congress,NA,News,,,
4/24/2020,World,Taliban Ramp Up Attacks Even as Coronavirus Spreads in Afghanistan,"Dozens of Daily Taliban Strikes Besiege Afghan Forces, Undermining Peace Accord",NA,News,,,
4/28/2020,World,Coronavirus Diplomacy: How China’s Red Cross Serves the Communist Party,"For China’s Red Cross, It’s Hard To Put People Before the Party",NA,News,,,
4/23/2020,U.S.,Executive Order Halting New Green Cards Includes Exceptions,"Trump’s Pen Halts Green Cards, but Leaves Loopholes",NA,News,,,
5/1/2020,World,"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War","As Pandemic Takes Toll on Afghan Doctors, Hospitals Still Tend to War Wounded",NA,News,,,
5/2/2020,World,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,Afghans Say Iran Killed Dozens of Migrants,NA,News,NA,News,https://www.nytimes.com/2020/07/18/arts/television/whats-on-tv-saturday-father-soldier-son-and-the-dance-on-camera-festival.html
